address,stutia,stuatom,stuosmo
stride1000ya26q2cmh399q4c5aaacd9lmmdqp9ff6r2v,0,0,987215
stride1002tn46lg29qk2teuuntnqx732g46c2y6gwew7,0,437694,0
stride10033kjn40qj9knwwttaskpermdr6dmup9qu99h,4999999,0,0
stride1003hk2pfhjfe0es5rxah4ga5de05t3j2f0qvu9,0,109527,249910
stride1004mqvtqkckwzq0dkappks9ngf6ecc7z9xz58t,0,8624505,5723800
stride1007htqha7hu529alej3n2ptsu2k7qsp47kem7c,0,964965,0
stride100a30m5ht9h9kt7s72w4qmku0namzpffzwdvlk,0,401328,0
stride100c867fxeu5dq6ht0flc7vf0rl65sfm7aemhzx,0,0,110175
stride100d699pl83yrya36una6xkva6k5xunz7s5cdl7,6979999,0,0
stride100dzkcdzmqu5rgcfhy2a5658ucn25sag0s7y4f,25119999,0,0
stride100evv3zea834usgwdaadzp4qjzem35976xazyx,0,375287,0
stride100fjd4fgvavlevh44wqtfl8e46ryyzmh3kt3nz,0,10066716,711751
stride100lkl76mm6w9rvwmw2fmgpkn73qxf2yfzgwmk4,0,1077398,0
stride100lu20uhdkyszuhnpu9hvwym9uthshty5hjglm,0,1672289,0
stride100q5kpe58rypfrmevlxrtrp3yu6vsk7qrynju2,0,208040064,664679709
stride100qq3v769nns7d99swlwzzwsrlureh6r97uxcx,19979999,0,0
stride100sykh47t0fmawa6dy59ad6s79h0rpl22fg0kf,4479999,0,0
stride100tuw670lp5dp09eqey7z3vkeq8unhegugepp9,0,132564,0
stride100uqtjngcq3a9wa7d7fanmw85qscckn434z3f0,0,115146,0
stride100uryzha9288mnh2uzhcy6s9dzthr74t79ym83,0,0,196199
stride100wc05kmt73lfaff9y4zlgksry6jc4v2av8rzn,0,0,641347
stride100y2dgjmdr3vs4qpv5jgqvcyxtwlpl0aaksugv,0,106202,744825
stride100z9stv7ckvvmvmlcynkmugcwx5z6v6j64y2ws,0,1601169,0
stride102060fev34lnalfrh94f3hls67jdpwszc3pykx,84174169,0,0
stride1022h7ln2077knvmyq0xk43n44sffnfrnr3gy8s,20477577,0,0
stride102347ruftecjedq46chpcg5lz33e0d4grwealr,0,202940,0
stride102349463d5av7u0lsm5n00c8hmxs8rk2tx57z0,0,306853,0
stride1024uzh99xharpytf2qhwvl6aqt2pzc3kjs8cet,0,556386,177425
stride1024xcu5867p2228uh2hax94n0yl2qad9q6szxl,0,2851724,0
stride1025mcerhegr03uz2ylejpajrv4x4uwpy586090,0,158448,0
stride10265n3crntw4mn48zs5rfy5fsyar62u3t6s5qc,0,0,152551
stride1026m0fhw92rqv3k3jy40cc78edyxlhwhxv4cv5,0,1542121,0
stride1029zg5fqw636vuvwpvt60ya0t6xf0xqpudzrd0,6876211,0,0
stride102a8tzfppfhjfw3eqr4x8pensa8l5ulwfhggcy,0,1209135,603903
stride102a8ysh9g94xj4pxlsrpp2yu9kcrtvn4vadsdd,0,1008478,0
stride102d8fp3mpt86tke4nksgm5mt7shrqdrz24ry86,0,104926,0
stride102dpup69vnkwsu3g5dnznvtwcgmsnfdh4gh7cc,0,169513,0
stride102dsxewzf8egvxr3els5tjqmvp5ql3677577uf,0,185741,0
stride102e34rh76mlg3xydldjufrvn8ul4lxsaf4mv7g,0,2651893,157725
stride102feq0d9t05ujdpcre9htzvphxw9zg28fzrzy3,0,1551704,859564
stride102ffznmv9fqxa6ktvv7z3dlp0fh0j03wxca7va,0,7380000,0
stride102fhpqck87dc83nlr6z265dcxvs2ky7xkx6lxp,10141998,0,0
stride102mlyl4ay4qpqrly67fzj08pdmuxnz4rg0ltn0,0,0,174952
stride102mvqa6ntaeg7j0057h8lsjqyqkfz6az966gd5,0,246121,0
stride102n53mp7csvv8jk6wsuya7hppy332jrhmc6lah,0,771962,0
stride102nmlhgd0x7vm60mx9evh4kwvxe0f73evpaz3p,0,111325,0
stride102p4rv6hhsgsdx84w2g8a3hunjmrskyyvq7tuw,0,155161,0
stride102ptfa2czp8varvcd6eu5qw03szm8yjh6fe03q,0,608632006,5273316056
stride102rrgu5utngavrr0t93lk2ue09qjh98cr83dpu,979999,0,0
stride102ruvpv2srmunfffxavttxnhezln6fncj2fzl8,0,9073608,631675
stride102rwn96lymgzzq85gfnp4wu0s6gl2n89xglnq2,0,1169406,0
stride102s3j7xa7nudgrf6g0q982uqqtnac9tav339ax,25109998,0,0
stride102v8tvxup0ps97yj9u7s5crcfjjfjx7qhwpjgv,2194638,0,0
stride102w5ws5aq54tpvuvgfcxnv40ukrrmy80mnd0gg,30944139,0,0
stride102xk4p8rvnvlg3esu7v090l5xxyhjcyjhxz7nm,0,1007269,0
stride102yqx0e020qatpxuf9qgwusn0kgwme2446pppg,0,111053,0
stride102ysd4cgsltlzxsfylwscp3k2dfg4uhxy6rcl9,0,163135,0
stride102ystfr0srd309w8dmjmwqzp9v0rv6znejk4gv,0,117358,0
stride102zfumn6vpmxxf54hmksz6v3edpeh45duntwpn,199999,0,0
stride1030aj93033h0heq3rjp253k09d9nlzxdpfujs6,57659998,0,0
stride1030j8q6ezk20ladtwrrzz8276uymrfsu7cw9j2,0,46319607,0
stride1034znln8akd8sndmtqxnagfkwf8w79h5ehyxya,130000,0,0
stride1036x4pg6v4rnfmauvv0xtrvgwm97p88evy4p76,0,818394,3853595
stride1037w0kq7xwv87sg52qahwswsnreqng7q5lhcg8,903019,0,0
stride1038kr5det6cztrch9hd5crsj2z2plaauhph96u,24499999,0,0
stride10394eav8kra5k9x8n08490h0attk2mn6lmcdmf,12979999,0,0
stride1039c65t58cnswhnqvkq2mvxdcypzhaea6vk77v,50579998,0,0
stride103cjgmkll9esgxz754pvgvlw273epgjaygvkxm,0,39695189,0
stride103el0mtdqaze5g5uwgff0rxazypvaejuvuvgjk,29479999,0,0
stride103f47lfepuwr4e454las8aq5p5hfkedm4xw7yp,299999998,0,0
stride103h3z4pxwk7787pr8k638gs5nlmyt6z34xun36,0,126618,993090
stride103hn5wdhau9ly968z7n3a9360v7gw9v9ck0ur3,320950,0,0
stride103hw6zraghu8qq3azfxxkt2kx8azp2u9vxdzzw,0,48066017,0
stride103jd8s5qwcjj4aapqtxdxqnz0j97uckz88fuy7,0,210422,0
stride103k6dxgwjen3a73lthhcj3x3n505x378vyd90v,0,0,4189606
stride103l025fw2x7d8k8px7d07vu667x0h5p50zst28,0,0,182455
stride103l0dpxwxzv4wmnaaeqa7x7ysed2l2j9h4ql6f,0,269487,0
stride103n2fyjdal748esfkxft6aepecdmzp0r6z8cpe,0,0,137501
stride103nkz0hgnpwmjveafmr57xwmvlluuj4ssyqna3,0,186342,0
stride103pwe72auzl3lz4gv0yk742maxz0wyn0px9sey,10109998,0,0
stride103q8qurph4mylv3znzcmpl396a06cplfqg9j32,2679999,0,0
stride103qcuqnx00xvv64me4jwa8jpwzn4qtmqdwplqn,5110000,0,0
stride103v3wy2qccy47jxvnsnxvj3r2lhxcfavcyul8r,0,200670,0
stride103vr2qzrkej6xwthgt2wl3p8c58q6lggd8jxqy,0,0,218855
stride103x48ru93zwg4lt5k2sehghx37pum48rllad4f,0,2730609,36223847
stride103y9ag2zqza6qhhl89qdy7g3kehm578v6nelec,0,7380000,0
stride103yxfyedzeuae9zrzmfrtjlhag9jc2shs3yt9p,0,3080129,0
