address_on_stride,amount,denom,date
stride103f47lfepuwr4e454las8aq5p5hfkedm4xw7yp,327.001202,sttia,2024-02-29
stride103h3z4pxwk7787pr8k638gs5nlmyt6z34xun36,185.587459,sttia,2024-02-29
stride103pdm6csxmvsrd6nggjm9g6a3my0al57wpcfql,119.736447,sttia,2024-02-29
stride104nr0dhjm75j4vdfskgk3uan8ek8zf84tc2488,1401.381069,sttia,2024-02-29
stride104szw0qtg6kk0nqu4930nwazdhuz3q629xxwkn,900.479999,sttia,2024-02-29
stride104u0yardhndp2980439xnetgcswm890f30tml9,889.085689,sttia,2024-02-29
stride104vxxy607zmf7uyesvu9c96w0t4clwgjf778sc,199.731084,sttia,2024-02-29
stride105sl995r9gwkx9dw69pgg8je2jaq9dxsmla5s8,119.73651,sttia,2024-02-29
stride105tehuf896q2kr8jx4lncr8ayv0hjaa2d8cqrg,500.967802,sttia,2024-02-29
stride105ytzzer2c6h63tfy9cu8x6sajclzzaxuepayl,387.779058,sttia,2024-02-29
stride106g4fyyyp3zc9pd0jyku6a9xx6f9z6hxnx4zxp,100.0,sttia,2024-02-29
stride106spszal3esg866rnuc08ahn5h9502h3738ler,100.0,sttia,2024-02-29
stride107tcy3hrjedrrnfenf365e3attf0gpgkvcw04z,259.49,sttia,2024-02-29
stride108rzjhafmm6x4mkqmu3d5x4p36t853m9sc6fcj,101.0,sttia,2024-02-29
stride108xj766kua00aj4su66hzc4zkne3esl2z88zfr,15257.939084,sttia,2024-02-29
stride10932fgsv3mdnmykha4adgt854ua0d9fn3fhdgc,449.998933,sttia,2024-02-29
stride109tkj97824krva0t9wvlhv4zm2zk3d3yavuw7n,24349.1119,sttia,2024-02-29
stride10adfhzspeqkupr5p5eravs9zxu7r0j7657dh53,25978.234474,sttia,2024-02-29
stride10av7zw4ug02rxt6ssyrk6g02q7g63mfxfmjdru,119.396368,sttia,2024-02-29
stride10c6mjhfslke8jgfglmc2xp2nesjslgr3tnqamc,141.887386,sttia,2024-02-29
stride10ck4wejtl67xpuajzwzykn8csjj6ufnwypf38e,2513.763546,sttia,2024-02-29
stride10czu826plwjwnmut7e03z43gmy9yep7qng7qp7,513.05185,sttia,2024-02-29
stride10d95rg9c5vf2qk85d3xk93yrl0dst3hspk9h4v,148.876682,sttia,2024-02-29
stride10d9dllznn6lnndejh4sp8z6g474w7qyzvdcq2c,107.921399,sttia,2024-02-29
stride10dd59s5j0ylt032lyuvlq0gnvkxwyh0wcrr7es,101.149999,sttia,2024-02-29
stride10dfn2ydfclnrx96e2872xl6fczfenxfnxhm6qq,150.765895,sttia,2024-02-29
stride10ealz8l4pn0qeumpe6ms2p4a0k8tjq72xyq5nk,499.84709,sttia,2024-02-29
stride10f4hqk4svs0ry0twd0fc2swf2yqcpqn07rauxq,1082.221119,sttia,2024-02-29
stride10fuvgpxjp44p746nxdvw0mnxwu5mqe8gwuulc8,100.0,sttia,2024-02-29
stride10fw4eh9uyendsauny3mpuxdsemuzgcxp5chvk3,117.449999,sttia,2024-02-29
stride10gj0eexmnejm9ypgl4hs9z7qgmqkdwcnlsepks,400.641298,sttia,2024-02-29
stride10h65ednxjrp9l6txnmvd7675q8nfcnspkps7lf,253.701351,sttia,2024-02-29
stride10hjyecrg6esft5rlhg8tzkfh3v4kxggd4dgjqz,476.775792,sttia,2024-02-29
stride10hlrcjhvsgnlulydasm5tckflu6kusuwtgga5h,212.27935,sttia,2024-02-29
stride10hx7muamxvh4z3cs5ghluyaxnwzcdkklsmaz3p,197.838603,sttia,2024-02-29
stride10hxnl0xzx3ay96ta4qr2ekxej7va957w8n8kjk,127.0253,sttia,2024-02-29
stride10jx4qemclxmjp9jnw2hqy4lgzz9sj9gul0t5my,130.395431,sttia,2024-02-29
stride10k0qxqh39fwk2khv49g0n673kfqwe778zlk9tk,139.486953,sttia,2024-02-29
stride10k6z4gq5fmhzspnhszxn0pydys045plzajgwd9,101.696665,sttia,2024-02-29
stride10kj6ejs8qk5exdky4ctmgw64ku97j7msruxa6t,119.731406,sttia,2024-02-29
stride10kjpgcevfad398t6kwmeg50a5099xvz2yfp7rs,107.0,sttia,2024-02-29
stride10kpk8ffqd42jg29mpqgkvhrd5x9ymnsmf9laul,101.898626,sttia,2024-02-29
stride10kzg7v3gp5qasfyyu3fgmal5xu4ssdkvylp6l3,257.999999,sttia,2024-02-29
stride10l0kgzx4n88u6z7r79twca9yp26wnerw8wnar7,219.810283,sttia,2024-02-29
stride10ltvk98rnud7jj2ec6msd4d52x52su4eyj0d4p,457.030495,sttia,2024-02-29
stride10lu273vfhe9cd8k7vpv7cd4zzssdta654qnsyf,117.529473,sttia,2024-02-29
stride10lvy0m8wehwjwtfzlp6ljr0ty2qmdkhvasmvn9,2279.051668,sttia,2024-02-29
stride10mrpnmt4zz4rjtq8ht58pj8pa2q0sqgrdndyly,285.402911,sttia,2024-02-29
stride10mz9ee9pr55rs0afuh8qvs95czqrkve3ncv5zc,118.366303,sttia,2024-02-29
stride10mzy5xs95avr2w94l9mw9cua9vgd9h5da7v4t9,164.970964,sttia,2024-02-29
stride10n5h8dq4eejw6qf04wrps5suvht0u72qpekhpy,671.131108,sttia,2024-02-29
stride10n80p5e75utjg0qtewh6kkalcpyaq8mc080fkz,105.758011,sttia,2024-02-29
stride10nrsf9r89cqag937ypg06lcte4fa9n4nqpjc02,122.385785,sttia,2024-02-29
stride10p5zajxnrd00j2ae50qqhgfd7m5azn40sud6c2,191.913947,sttia,2024-02-29
stride10pr3yljetr6dlwxvjqepqqn6pu4wdw90nkw99j,260.842743,sttia,2024-02-29
stride10qvn7z44alkjd94sckajyssp0vl5fdmhkdazjp,120.143967,sttia,2024-02-29
stride10rfnmrw6ud4ut263kcqvx329pjcqrj76z03qkr,113.238447,sttia,2024-02-29
stride10rgp60s80sxdachm2qgdqpf9jhdy555cpznnzn,236.999999,sttia,2024-02-29
stride10tpvhgv888gscy5fwu9ln2nj93qwss8xvm373e,199.979999,sttia,2024-02-29
stride10uk0hm40h39v4t6tw9x6sjwhxezjvyju05l349,2888.29085,sttia,2024-02-29
stride10uv3k3zyfavtdu4m4m88u8a5e6ynz7vjg90d0q,159.979999,sttia,2024-02-29
stride10vegz393a8jqjw2nk9e6r7sm5f4ajwd52u5kr9,429.522578,sttia,2024-02-29
stride10vu9mfp3v8vl63zz62r8seqn9wjdm7va4zywxf,5229.981736,sttia,2024-02-29
stride10vv8ddknjfy3muhvdx4uad4tfpasgzmmgvxjd8,23078.890245,sttia,2024-02-29
stride10w40gq84ye6gf3jaexs775zf84f625z605fqaw,121.999852,sttia,2024-02-29
stride10wedlrq3xhf3n73e7k790wn9zrt2rteacr9p5u,429.526161,sttia,2024-02-29
stride10wp6hw37044e8pwdan22t9ze6fcwq3mqavqaup,101.451744,sttia,2024-02-29
stride10wrufay7ddf4jt7nljt4lzt0hx567fs8yxteg9,380.001441,sttia,2024-02-29
stride10wsavjm9m34h83rnu6ayqz3276wdjdd3ycjxwl,100.751733,sttia,2024-02-29
stride10x2jkt4a6ykzurvq9j004jmzhggpjmupstknp8,101.179999,sttia,2024-02-29
stride10xmtnhz8d2dy3ec2d9fyz0wsvsxuh5k3fderme,189.028497,sttia,2024-02-29
stride10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rdjy4am,132.914913,sttia,2024-02-29
stride10xz349709ucxul6zez3ur6u2yamunvn5h2ds9j,189.681289,sttia,2024-02-29
stride10y7m8mf4sfspnq29y5l0tefwjkshesszy3zrel,200.328346,sttia,2024-02-29
stride10yl6s2j7jwxq9jlw0el5qfua5njcg6g9ulec3j,101.954415,sttia,2024-02-29
stride10ylwrajltnwt6dvrtuxfs0j66e38lgx5az0erm,176.133043,sttia,2024-02-29
stride1205em4ctd0406szat3n9whjj0dqcetwq4zj8zx,275.294828,sttia,2024-02-29
stride12088f4cr8lxrlyqmgynt68mj57ejgg58nvzdlq,309.992129,sttia,2024-02-29
stride120ax55fxagpwgn65thzzszm54q003u5qerukjx,1721.693107,sttia,2024-02-29
stride120lndvnt5cl7qxf5q2c9d6qxaxxy4xtk8hql4g,400.0,sttia,2024-02-29
stride122dxl9548w9xwc03se3f5a5xe50z889elprg0e,322.748073,sttia,2024-02-29
stride122jmaspa356w869m39sw6a6tpu6m796glz9hu3,164.25149,sttia,2024-02-29
stride122xmepavjt5zmc9avjm4n005rcty8raxqyljx4,214.148899,sttia,2024-02-29
stride1237nfc5tyfwcldcgex2ljw6ddvnja7dya77jhv,138.91989,sttia,2024-02-29
stride1245ydegvlzp0rr3q5a0ejwyr0e2zaejtrj95pe,164.775465,sttia,2024-02-29
stride1248x5wmj2q8e2v65z6gq29hfc9n0wnnqwpqwhr,124.418677,sttia,2024-02-29
stride124pndh8c70n0794ws82sh5tk0yyjr7y8a0mz03,475.979425,sttia,2024-02-29
stride124zzsms4afp3749khxecqpfv8vpz9fwthjg2g2,157.881155,sttia,2024-02-29
stride125kaqk58z4zsg7qzeka04enzhflhc5ftlh5jng,383.272568,sttia,2024-02-29
stride125kzhpkaw7ndnqesm0yqdlwm5jn97j0ep7yax5,559.886498,sttia,2024-02-29
stride125vs7tvzekcggjlfg96d0u2y5k5v8prurv9lkt,100.979999,sttia,2024-02-29
stride1262vlga0097wjlwvuna9sw7xuf6339t0772ard,500.0,sttia,2024-02-29
stride126hhenhx0qtd3qjuycf4xd8lh4rj5hr3djw43w,353.33533,sttia,2024-02-29
stride126j4q0gk7luqhrtdycl00dfzw8mhyg5e7zvjf9,103.188502,sttia,2024-02-29
stride12760ffkur0m6t8ytt4y3ta3a7afzc7sprh5gs0,180.0,sttia,2024-02-29
stride127wkcqhmj5p0nnx29qw2rc4qau0qh2pn057xw6,298.313006,sttia,2024-02-29
stride12845qa79cwlvf3jdcnfq2jy2jfmzslcg5exau6,497.116143,sttia,2024-02-29
stride128h6rn4v64g80p436y0fn4m53svhhvenxp8kkp,726.127193,sttia,2024-02-29
stride128shzuyl2lmwl42ec0029d7cffela6eqgja25s,616.481523,sttia,2024-02-29
stride128uswwypq2jxecnjcu9hetkam2eemtx2lnlmaf,200.0,sttia,2024-02-29
stride1290wymvck8gmwm2yvase906u3z4xruns2gf0ce,200.0,sttia,2024-02-29
stride129ktdmsfa8e4qftkncxz8dt4vqqlnz54u5rr7y,101.112249,sttia,2024-02-29
stride129rvtv5tmpp52ged67c8lmcqxlzh9lnv208js5,102.577892,sttia,2024-02-29
stride12a7t90qgwvexglqczv4389r4tusk6jajma7gmr,119.736637,sttia,2024-02-29
stride12ahwt0a7za4w4dj7d8xz9v52e5w6df8n4lhn5f,182.708329,sttia,2024-02-29
stride12azs8cykjv39skj0ljdsxk78jat928l0wv66qt,125.015945,sttia,2024-02-29
stride12c62xdfcjuegplk50fxkkza7pguc6yscdwcx6h,355.422818,sttia,2024-02-29
stride12c86nxpnah8e0n0qw63ayg3cepym7thuvcsfh7,236.616864,sttia,2024-02-29
stride12d4pcv8fmmpa9ju50k5thcjegjvgawr356zdyt,107.98,sttia,2024-02-29
stride12d9yccq4zknxg83h4pcc44ysgg02ja460e3nxh,230.138008,sttia,2024-02-29
stride12dakwyu73lvrnv8s2ax8hxtssp0d84hh3j6c7u,451.748848,sttia,2024-02-29
stride12el8k6fz3n80mv2czz6apdxplsnpxznarmry6t,311.475458,sttia,2024-02-29
stride12erpmx4wv502m3e3uhxm5zqflusgggg84ar77t,104.240559,sttia,2024-02-29
stride12eylece8skte4u4zr8lthepny9x7lp6yhm6hf2,400.0,sttia,2024-02-29
stride12f07j6cnunmj85c3l3m4mgp9n9xuxhu0sh7gls,721.572509,sttia,2024-02-29
stride12f4e5d9gmy6pgm55xedzhr8j4etrw9kn4wxymn,556.699681,sttia,2024-02-29
stride12fx43uv8rsg3xxfzks84mezd0vxy5kqw4ha6xr,100.2,sttia,2024-02-29
stride12fyvw87f386fdu9zvrw94m4f3qre02vfcnzfcw,1499.38869,sttia,2024-02-29
stride12g7e2n8xufxuc3c45j0an46t09mmqffdvh47mg,211.866397,sttia,2024-02-29
stride12gasm3vr4f2jpeul4d49kmv424sxjznwntgqsp,139.189786,sttia,2024-02-29
stride12ggr8zunysyyfh7ezlhpnxyul6fajethukcv28,338.216596,sttia,2024-02-29
stride12gkudcv6pmrzk3ms2ztn7h0uul9hfx04ngxld8,300.76775,sttia,2024-02-29
stride12gky6yzjd5mds2g8ft4ps6c9v3xhc6scu663fa,228.496973,sttia,2024-02-29
stride12gn3u0hp7v5walv2jrjt4g9q468mfw0lx4nktu,119.736457,sttia,2024-02-29
stride12gssy4dctydys0caxfg5d7kscaxl20nptetl5p,144.979999,sttia,2024-02-29
stride12guk0p46kqahh0hry722zulgaxsl7mjk432mkh,184.368535,sttia,2024-02-29
stride12h3f4r8yu748aw47yyknkaq3g4zdjhczd4m00c,484.016814,sttia,2024-02-29
stride12h3prla9eedcqex0xz522la2q49yslg8kr3sqn,114.387943,sttia,2024-02-29
stride12hq3pysmqmnh7j7kkwg375uw8p6gg37zq34wy6,163.246881,sttia,2024-02-29
stride12httffcqya7uu76n7rc3g9zxth6kd3385730d8,100.751497,sttia,2024-02-29
stride12hwl7cl2rpva035kcmzxpf752t0wqgye4p4xeg,119.7365,sttia,2024-02-29
stride12j56a8qv6pq5zy80lcgqyv6ydmx9rdqeu8cl0t,129.999999,sttia,2024-02-29
stride12j5pe3p4tnrcd4k6fzwgfdrfaq43uwca7vwr0x,204.064044,sttia,2024-02-29
stride12jez8wtg8p4twth2mdjmfeavy8muj7ayjmsm66,199.778562,sttia,2024-02-29
stride12jmhf8dqn6nqa5hxjen6595gwnxu2qkjgkkmsr,100.751763,sttia,2024-02-29
stride12jyq6emxuw3pp38uexl4nm9ss6uxf93kyjmull,3366.74877,sttia,2024-02-29
stride12kkj6uuh27me4k3xhum4tn4q2h4mkalqjk5chq,1014.575538,sttia,2024-02-29
stride12knulcwa7n3ndcp6uj3tf8a953azpf7ekz297u,266.575615,sttia,2024-02-29
stride12l53gg7zqyyvtgu9k6meny5fwvue8uww63p68s,100.7,sttia,2024-02-29
