address,amount,denom,usd_value
agoric104a4pj64l6grr65ppp7el72kjtyjuuh9655as7,30.0,stutia,492.3
agoric10k0qxqh39fwk2khv49g0n673kfqwe778nf5x0v,4267.696159,stuosmo,7440.7282532165
agoric10k0qxqh39fwk2khv49g0n673kfqwe778nf5x0v,231.069164,stutia,3791.84498124
agoric10td8wuyznhe0eq8spm3pzt65nejf6phn8vrjgh,15.0,stuatom,208.8
agoric10xmtnhz8d2dy3ec2d9fyz0wsvsxuh5k3cmmqlr,189.050539,stutia,3102.31934499
agoric12at28q6ye3pffwyz9uf8kmg8qqyzxcpvzyxfrn,19.450015,stutia,319.17474615000003
agoric12uchkxcs305q32fs8jy92scgzpmasghq69ggas,77.0,stuatom,1071.84
agoric13235gcj6vhm30fedjtp8xa28uspe7c94e4rsdx,16.0,stuatom,222.72
agoric134v53n0pwvzlefpewh6mzzfuhdgny52vykwgkj,44.0,stuatom,612.48
agoric13mm0ua6c20f8jup3q2g0uuw2k5n54cgkku3zf3,430.396875,stuatom,5991.1245
agoric13uejuqfrrmesrpptrrwat70rcpqv8th96naha5,24.186428,stuatom,336.67507775999997
agoric146cgee3dyndta3ycljtllz86awr0jaw6spgu5v,41.0,stuatom,570.72
agoric14x95acknwdkj89g3yg3y32dgkx0nsag7fu3jtj,113.254,stuosmo,197.45834900000003
agoric15lmv5ca82t79nw9u4ufnt8886yf6grnawncwet,45.0,stuatom,626.4
agoric160xk5xhfxz2nm534xaxn7x2dwhp8uahlet3wze,101.0,stuatom,1405.92
agoric169kxk8um8ldkfrmv44fs5cy9lr07rwrjtsnfu7,355.875018,stuosmo,620.468093883
agoric169kxk8um8ldkfrmv44fs5cy9lr07rwrjtsnfu7,15.500353,stutia,254.36079273000001
agoric178pnt8glx387ltx6fnm9tsa73dldf5swfwx770,41.439325,stuatom,576.8354039999999
agoric17c06dgxjfmtwp2k64auhxv6wy9rndzyx72v93c,15.691602,stutia,257.49918882
agoric17h80skw58wlh9exmt24zlhj5cja7j8tccgsj5l,19.801711,stuatom,275.63981712000003
agoric17mqn8ys44803q485qlh0cmur3tfy9dtqlzvp8q,116.112461,stuatom,1616.28545712
