,stutia,sttia,strd
stride103qcuqnx00xvv64me4jwa8jpwzn4qtmqdwplqn,4980000,4.98,2.397550230086001
stride10447kdx9rq75qtwccukfg9sdt70yry9amun7t6,18345480,18.34548,8.832170641573923
stride104a4pj64l6grr65ppp7el72kjtyjuuh9tzk75y,5000000,5.0,2.4071789458694792
stride104kdmj4fla63rk9ds3ed5nex7x440863xfggea,1122620,1.12262,0.540469445642399
stride104u0yardhndp2980439xnetgcswm890f30tml9,9110490,9.11049,4.3861159429108865
stride1050yh6cl840z3ghjkvcaclxscvuqaf200q0t5g,1980000,1.98,0.9532428625643138
stride105c0dl6f2wnzln3vmtgrcxzxtt37rawhf7wptu,10480000,10.48,5.045447070542429
stride108xeg66rdxzcw2fkfmxcrt4594k6539cuaxnpj,6500000,6.5,3.1293326296303228
stride10c9yupqmwuj60n6twqm7722557hnsll4rm8mer,1102550,1.10255,0.5308070293536788
stride10ce86fcvy6czw3xf986m9cu5ajnyhd4dwt34gp,16401150,16.40115,7.896100593609442
stride10e8k0ct3cadfdte2jjc03ggmdr372z5rz0upa2,1314740,1.31474,0.6329628894584878
stride10g2xs42a9xyf8v682zapfla36s600yetnqlsr4,9980000,9.98,4.804729175955481
stride10gc22s7n4m8urkjcd6xqsjtmcuat2zm3mketn7,5980000,5.98,2.8789860192598975
stride10guf8ytetszyd8sfwxh8l54x7gnuaxvq8hpp5j,6980000,6.98,3.3604218084337933
stride10h05cedmph57kcz5rh9hje4n0ae527zezlmqqc,9780000,9.78,4.708442018120701
stride10h22mqtxa9yjuntcnhpr6lgp6mmrhc4dftu4xa,11460000,11.46,5.517254143932847
stride10hgtkvmpjcspxgqeyqty39hsrknlxlcquwn6n7,4980000,4.98,2.397550230086001
stride10hxnl0xzx3ay96ta4qr2ekxej7va957w8n8kjk,127025300,127.0253,61.15452555055087
stride10ls0hp5v8mv2djrxuek88aja7farxs437un3mm,119098000,119.098,57.33803961903265
stride10lvy0m8wehwjwtfzlp6ljr0ty2qmdkhvasmvn9,2275457920,2275.45792,1095.4868794471915
stride10mxudmq0ymwd86k3vtxj0zlv4u5rd2d7dfck40,233910,0.23391,0.11261264544566597
stride10p2kksrhd3kq07r6vlgpr20uzr9vrj65lv0p07,899680,0.89968,0.4331381508039706
stride10qqj8jntu4lknce2t5ze3etynrlx376qhqaxqc,6060000,6.06,2.9175008823938087
